Comparison Script,Model,Target Script,Mean Similarity,Median Similarity,Std Dev
TYC,model_0,Indus,0.6108322143554688,0.6118221282958984,0.07563551515340805
TYC,model_0,Proto-Cuneiform,0.06705028563737869,0.0672675222158432,0.02482282742857933
TYC,model_0,Proto-Elamite,0.0974213182926178,0.09699827432632446,0.027683502063155174
TYC,model_1,Indus,0.6053133606910706,0.6227419376373291,0.11734660714864731
TYC,model_1,Proto-Cuneiform,0.0645747184753418,0.06275492906570435,0.028236662968993187
TYC,model_1,Proto-Elamite,0.06769944727420807,0.06698060035705566,0.028169304132461548
TYC,model_2,Indus,0.624448299407959,0.6312603950500488,0.09758448600769043
TYC,model_2,Proto-Cuneiform,0.0694214403629303,0.06922998279333115,0.02787943184375763
TYC,model_2,Proto-Elamite,0.08197740465402603,0.0805758386850357,0.030021214857697487
TYC,model_3,Indus,0.6519465446472168,0.6698381900787354,0.12085240334272385
TYC,model_3,Proto-Cuneiform,0.07156732678413391,0.07119834423065186,0.02719537355005741
TYC,model_3,Proto-Elamite,0.07133889943361282,0.0711270347237587,0.021338259801268578
TYC,model_4,Indus,0.6614366769790649,0.6767966151237488,0.11298878490924835
TYC,model_4,Proto-Cuneiform,0.2361675649881363,0.2343757450580597,0.05012520030140877
TYC,model_4,Proto-Elamite,0.07467296719551086,0.07482457160949707,0.024705270305275917
Naxi-Dongba,model_0,Indus,0.5734632611274719,0.5745158195495605,0.06916014105081558
Naxi-Dongba,model_0,Proto-Cuneiform,0.07223660498857498,0.07122451812028885,0.026651034131646156
Naxi-Dongba,model_0,Proto-Elamite,0.08217383176088333,0.08252091705799103,0.02364286594092846
Naxi-Dongba,model_1,Indus,0.6538676023483276,0.6605405807495117,0.08143410086631775
Naxi-Dongba,model_1,Proto-Cuneiform,0.0563039556145668,0.05282409489154816,0.030965818092226982
Naxi-Dongba,model_1,Proto-Elamite,0.10035219043493271,0.09767279773950577,0.02662726119160652
Naxi-Dongba,model_2,Indus,0.5786668062210083,0.5840674638748169,0.09269152581691742
Naxi-Dongba,model_2,Proto-Cuneiform,0.051812369376420975,0.05205088108778,0.029484547674655914
Naxi-Dongba,model_2,Proto-Elamite,0.0932348370552063,0.09247858822345734,0.03153718262910843
Naxi-Dongba,model_3,Indus,0.6831673383712769,0.6978090405464172,0.09642437100410461
Naxi-Dongba,model_3,Proto-Cuneiform,0.08199575543403625,0.0801171064376831,0.025585301220417023
Naxi-Dongba,model_3,Proto-Elamite,0.0780215859413147,0.07601860165596008,0.02386893518269062
Naxi-Dongba,model_4,Indus,0.674725353717804,0.6911126375198364,0.1089499443769455
Naxi-Dongba,model_4,Proto-Cuneiform,0.280492901802063,0.278473436832428,0.0462823212146759
Naxi-Dongba,model_4,Proto-Elamite,0.08451692759990692,0.08482813090085983,0.028570182621479034
Old-Naxi,model_0,Indus,0.6191326379776001,0.6205818057060242,0.07188151031732559
Old-Naxi,model_0,Proto-Cuneiform,0.07338584959506989,0.07286879420280457,0.02380881831049919
Old-Naxi,model_0,Proto-Elamite,0.10107824951410294,0.1010604053735733,0.0268719382584095
Old-Naxi,model_1,Indus,0.5699396133422852,0.5833606719970703,0.11433544754981995
Old-Naxi,model_1,Proto-Cuneiform,0.07653466612100601,0.07443094253540039,0.030720895156264305
Old-Naxi,model_1,Proto-Elamite,0.051169995218515396,0.047638289630413055,0.028653886169195175
Old-Naxi,model_2,Indus,0.657826840877533,0.6678465604782104,0.09234075248241425
Old-Naxi,model_2,Proto-Cuneiform,0.07615871727466583,0.07640235871076584,0.02672436274588108
Old-Naxi,model_2,Proto-Elamite,0.0838853269815445,0.08246307820081711,0.02789704129099846
Old-Naxi,model_3,Indus,0.6018452644348145,0.6209423542022705,0.1254933923482895
Old-Naxi,model_3,Proto-Cuneiform,0.08462990820407867,0.0843917578458786,0.025906141847372055
Old-Naxi,model_3,Proto-Elamite,0.07052985578775406,0.070013627409935,0.021503116935491562
Old-Naxi,model_4,Indus,0.6481595039367676,0.6646130084991455,0.11087647825479507
Old-Naxi,model_4,Proto-Cuneiform,0.22122517228126526,0.217458114027977,0.048156995326280594
Old-Naxi,model_4,Proto-Elamite,0.06637658178806305,0.06585485488176346,0.02431483007967472
